...1,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source
40,shawg,Scg,SH AA G,Low,Unigram,JL
41,cheesh,CiS,CH IY SH,Low,Unigram,JL
42,geedh,giD,G IY DH,High,Unigram,JL
43,thawsh,TcS,TH AA SH,Low,Unigram,JL
44,zooth,zuT,Z UW TH,Low,Unigram,JL
45,shime,SYm,SH AY M,High,Unigram,JL
46,dhuv,Dxv,DH AH V,High,Unigram,JL
47,tautch,tWC,T AW CH,High,Unigram,JL
48,gibe,gYb,G AY B,High,Unigram,JL
49,rawsh,rcS,R AA SH,High,Unigram,JL
50,derse,dXs,D ER S,High,Unigram,JL
51,shauze,Scz,SH AA Z,Low,Unigram,JL
52,yawd,ycd,Y AA D,High,Unigram,JL
53,joosh,JuS,JH UW SH,Low,Unigram,JL
54,hoosh,huS,HH UW SH,High,Unigram,JL
55,goosh,guS,G UW SH,Low,Unigram,JL
56,yerz,yXz,Y ER Z,Low,Unigram,JL
57,cheyg,Ceg,CH EY G,Low,Unigram,JL
58,zeedge,ziJ,Z IY JH,Low,Unigram,JL
59,moosh,muS,M UW SH,High,Unigram,JL
60,dhime,DYm,DH AY M,High,Unigram,JL
61,jeyg,Jeg,JH EY G,High,Unigram,JL
62,foove,fuv,F UW V,High,Unigram,JL
63,vern,vXn,V ER N,High,Unigram,JL
64,geech,giC,G IY CH,High,Unigram,JL
65,cheedh,CiD,CH IY DH,Low,Unigram,JL
66,chize,CYz,CH AY Z,High,Unigram,JL
67,dawth,dcT,D AA TH,High,Unigram,JL
68,yerv,yXv,Y ER V,Low,Unigram,JL
69,zeeg,zig,Z IY G,Low,Unigram,JL
70,sheyg,Seg,SH EY G,Low,Unigram,JL
71,cheydh,CeD,CH EY DH,Low,Unigram,JL
72,nauth,nWT,N AW TH,Low,Unigram,JL
73,thudge,TxJ,TH AH JH,High,Unigram,JL
74,thawg,Tcg,TH AA G,Low,Unigram,JL
75,nawng,ncG,N AA NG,Low,Unigram,JL
76,sern,sXn,S ER N,High,Unigram,JL
77,serd,sXd,S ER D,High,Unigram,JL
78,jeydh,JeD,JH EY DH,Low,Unigram,JL
79,bawth,bcT,B AA TH,High,Unigram,JL
80,yuzz,yxz,Y AH Z,High,Unigram,JL
81,yawth,ycT,Y AA TH,Low,Unigram,JL
82,kern,kXn,K ER N,High,Unigram,JL
83,dheetch,DiC,DH IY CH,Low,Unigram,JL
84,dhush,DxS,DH AH SH,Low,Unigram,JL
85,chudge,CxJ,CH AH JH,High,Unigram,JL
86,zoosh,zuS,Z UW SH,Low,Unigram,JL
87,naud,ncd,N AA D,High,Unigram,JL
88,yudghe,yxJ,Y AH JH,High,Unigram,JL
89,poosh,puS,P UW SH,High,Unigram,JL
90,yerp,yXp,Y ER P,Low,Unigram,JL
91,dhive,DYv,DH AY V,High,Unigram,JL
92,sert,sXt,S ER T,High,Unigram,JL
93,yawng,ycG,Y AA NG,Low,Unigram,JL
94,zeech,ziC,Z IY CH,Low,Unigram,JL
95,shive,SYv,SH AY V,High,Unigram,JL
96,dheesh,DiS,DH IY SH,Low,Unigram,JL
97,shawsh,ScS,SH AA SH,Low,Unigram,JL
98,fert,fXt,F ER T,High,Unigram,JL
99,geesh,giS,G IY SH,High,Unigram,JL
100,choove,Cuv,CH UW V,Low,Unigram,JL
101,tert,tXt,T ER T,High,Unigram,JL
102,sherz,SXz,SH ER Z,Low,Unigram,JL
103,shudge,SxJ,SH AH JH,High,Unigram,JL
104,shooth,SuT,SH UW TH,Low,Unigram,JL
105,serl,sXl,S ER L,High,Unigram,JL
106,goove,guv,G UW V,High,Unigram,JL
107,woove,wuv,W UW V,High,Unigram,JL
108,chibe,CYb,CH AY B,High,Unigram,JL
109,zoob,zub,Z UW B,Low,Unigram,JL
110,jize,JYz,JH AY Z,High,Unigram,JL
111,dhud,Dxd,DH AH D,High,Unigram,JL
112,foosh,fuS,F UW SH,High,Unigram,JL
113,shawth,ScT,SH AA TH,Low,Unigram,JL
114,lauth,lWT,L AW TH,Low,Unigram,JL
115,dhibe,DYb,DH AY B,High,Unigram,JL
116,shibe,SYb,SH AY B,High,Unigram,JL
117,zeedh,ziD,Z IY DH,Low,Unigram,JL
118,serm,sXm,S ER M,High,Unigram,JL
119,huss,hxs,HH AH S,High,Unigram,JL
120,therz,TXz,TH ER Z,Low,Unigram,JL
121,yush,yxS,Y AH SH,Low,Unigram,JL
122,gawth,gcT,G AA TH,Low,Unigram,JL
123,nawd,nWd,N AW D,High,Unigram,JL
124,shoove,Suv,SH UW V,Low,Unigram,JL
125,kerm,kXm,K ER M,High,Unigram,JL
126,dhug,Dxg,DH AH G,High,Unigram,JL
127,yawsh,ycS,Y AA SH,Low,Unigram,JL
128,cherz,CXz,CH ER Z,Low,Unigram,JL
129,dheeth,DiT,DH IY TH,Low,Unigram,JL
130,serz,sXz,S ER Z,High,Unigram,JL
131,sheydh,SeD,SH EY DH,Low,Unigram,JL
132,dhize,dYz,DH AY Z,Low,Unigram,JL
