...1,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source
1,footh,fuT,F UW TH,High,Unigram,JL
2,geeth,giT,G IY TH,High,Unigram,JL
3,zeeth,ziT,Z IY TH,Low,Unigram,JL
4,yawg,ycg,Y AA G,Low,Unigram,JL
5,lerz,lXz,L ER Z,High,Unigram,JL
6,jipe,JYp,JH AY P,High,Unigram,JL
7,chuzz,Cxz,CH AH Z,High,Unigram,JL
8,cheydge,CeJ,CH EY JH,Low,Unigram,JL
9,zeesh,ziS,Z IY SH,Low,Unigram,JL
10,zoove,zuv,Z UW V,Low,Unigram,JL
11,dhipe,DYp,DH AY P,High,Unigram,JL
12,serk,sXk,S ER K,High,Unigram,JL
13,berse,bXs,B ER S,High,Unigram,JL
14,thuzz,Txz,TH AH Z,High,Unigram,JL
15,shawng,ScG,SH AA NG,Low,Unigram,JL
16,jeydge,JeJ,JH EY JH,Low,Unigram,JL
17,dhuzz,Dxz,DH AH Z,High,Unigram,JL
18,shipe,SYp,SH AY P,High,Unigram,JL
19,nautch,nWC,N AW CH,Low,Unigram,JL
20,lautch,lWC,L AW CH,Low,Unigram,JL
21,shaud,Scd,SH AA D,High,Unigram,JL
22,geedge,giJ,G IY JH,High,Unigram,JL
23,chooth,CuT,CH UW TH,Low,Unigram,JL
24,dheeg,Dig,DH IY G,Low,Unigram,JL
25,wooth,wuT,W UW TH,Low,Unigram,JL
26,thawth,TcT,TH AA TH,Low,Unigram,JL
27,gooth,guT,G UW TH,Low,Unigram,JL
28,ferse,fXs,F ER S,High,Unigram,JL
29,jime,JYm,JH AY M,High,Unigram,JL
30,nerz,nXz,N ER Z,Low,Unigram,JL
31,mern,mXn,M ER N,High,Unigram,JL
32,choosh,CuS,CH UW SH,Low,Unigram,JL
33,sheydge,SeJ,SH EY JH,Low,Unigram,JL
34,thush,TxS,TH AH SH,Low,Unigram,JL
35,veydh,veD,V EY DH,Low,Unigram,JL
36,chush,CxS,CH AH SH,Low,Unigram,JL
37,nawth,ncT,N AA TH,Low,Unigram,JL
38,serp,sXp,S ER P,High,Unigram,JL
39,dheedh,DiD,DH IY DH,Low,Unigram,JL
