...1,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source
69,bap,b@p,B AE P,High,Bigram,JL
84,beel,bil,B IY L,High,Bigram,JL
106,beese,bis,B IY S,High,Bigram,JL
6,berse,bXs,B ER S,Low,Bigram,JL
47,bice,bYs,B AY S,Low,Bigram,JL
122,bul,bxl,B AH L,High,Bigram,JL
91,chan,C@l,CH AE L,High,Bigram,JL
64,cheedh,CiD,CH IY DH,Low,Bigram,JL
24,cheen,Cin,CH IY N,Low,Bigram,JL
19,cherdge,CXJ,CH ER JH,Low,Bigram,JL
37,cherg,CXg,CH ER G,Low,Bigram,JL
83,cherth,CXT,CH ER TH,Low,Bigram,JL
78,chudge,CxJ,CH AH JH,Low,Bigram,JL
71,chun,Cxn,CH AH N,High,Bigram,JL
39,chush,CxS,CH AH SH,Low,Bigram,JL
132,chutch,CxC,CH AH CH,Low,Bigram,JL
15,deek,dik,D IY K,High,Bigram,JL
88,dees,dis,D IY S,High,Bigram,JL
105,deet,dit,D IY T,High,Bigram,JL
112,dep,dEp,D EH P,High,Bigram,JL
55,derse,dXs,D ER S,Low,Bigram,JL
36,dheedh,DiD,DH IY DH,Low,Bigram,JL
22,dheeg,Dig,DH IY G,Low,Bigram,JL
77,dheetch,DiC,DH IY CH,Low,Bigram,JL
7,didge,dIJ,D IH JH,High,Bigram,JL
29,didh,dID,D IH DH,High,Bigram,JL
113,dipe,dYp,D AY P,High,Bigram,JL
63,dite,dYt,D AY T,High,Bigram,JL
120,dith,dIT,D IH TH,High,Bigram,JL
18,dizh,dIZ,D IH ZH,High,Bigram,JL
116,feek,fik,F IY K,High,Bigram,JL
56,fees,fis,F IY S,Low,Bigram,JL
28,ferse,fXs,F ER S,Low,Bigram,JL
89,fert,fXt,F ER T,Low,Bigram,JL
34,fike,fYk,F AY K,High,Bigram,JL
57,ful,fxl,F AH L,High,Bigram,JL
100,gace,ges,G EY S,High,Bigram,JL
38,gaud,gWd,G AW D,Low,Bigram,JL
17,gaur,gWr,G AW R,Low,Bigram,JL
119,gauz,gWz,G AW Z,Low,Bigram,JL
62,geech,giC,G IY CH,Low,Bigram,JL
16,geedge,giJ,G IY JH,Low,Bigram,JL
50,geedh,giD,G IY DH,Low,Bigram,JL
101,gerg,gXg,G ER G,Low,Bigram,JL
97,goove,guv,G UW V,Low,Bigram,JL
102,hace,hes,HH EY S,High,Bigram,JL
23,hane,hen,HH EY N,High,Bigram,JL
109,heen,hin,HH IY N,High,Bigram,JL
49,hice,hYs,HH AY S,High,Bigram,JL
117,huss,hxs,HH AH S,Low,Bigram,JL
123,jerth,JXT,JH ER TH,Low,Bigram,JL
