...1,SoundOrthography,Arpabet,Klattbet,List,Contrast,Source,Unigram,Bigram
1,boin,B OY N,bOn,High,Bigram,Novel,1.1507,1.001
2,boir,B OY R,bOr,Low,Bigram,Novel,1.133,1.0003
3,bois,B OY S,bOs,High,Bigram,Novel,1.1334,1.001
4,bun,B UH N,bUn,High,Bigram,Novel,1.1575,1.0017
5,boor,B UW R,bur,High,Bigram,Novel,1.1517,1.0012
6,bus,B UH S,bUs,High,Bigram,Novel,1.1402,1.0014
7,baur,B AW R,bWr,High,Bigram,Novel,1.1393,1.0008
8,cheidh,CH EY DH,CeD,Low,Bigram,JL,1.0412,1.0007
9,cheedh,CH IY DH,CiD,Low,Bigram,JL,1.0438,1.0009
10,choib,CH OY B,COb,Low,Bigram,Novel,1.0383,1.0001
11,choig,CH OY G,COg,Low,Bigram,Novel,1.0302,1.0001
12,choiv,CH OY V,COv,Low,Bigram,Novel,1.0359,1.0001
13,choodh,CH UW DH,CuD,Low,Bigram,JL,1.0341,1.0003
14,choosh,CH UW SH,CuS,Low,Bigram,JL,1.0387,1.0002
15,chooth,CH UW TH,CuT,High,Bigram,JL,1.0384,1.0008
16,dheitch,DH EY CH,DeC,Low,Bigram,Novel,1.0401,1.0004
17,dheidh,DH EY DH,DeD,Low,Bigram,Novel,1.0352,1.0003
18,dheidge,DH EY JH,DeJ,Low,Bigram,Novel,1.0429,1.0009
19,dheish,DH EY SH,DeS,Low,Bigram,Novel,1.0398,1.0007
20,dheetch,DH IY CH,DiC,Low,Bigram,JL,1.0427,1.0008
21,dheedh,DH IY DH,DiD,Low,Bigram,JL,1.0378,1.0005
22,dheesh,DH IY SH,DiS,Low,Bigram,JL,1.0424,1.0004
23,dheeth,DH IY TH,DiT,Low,Bigram,JL,1.0421,1.0006
24,door,D UW R,dur,High,Bigram,Novel,1.1523,1.0017
25,dhautch,DH AW CH,DWC,Low,Bigram,Novel,1.0206,1.0004
26,dhaudh,DH AW DH,DWD,Low,Bigram,Novel,1.0157,1.0001
27,dhauth,DH AW TH,DWT,Low,Bigram,Novel,1.02,1.0006
28,fun,F UH N,fUn,High,Bigram,Novel,1.1529,1.0012
29,foor,F UW R,fur,High,Bigram,Novel,1.1471,1.0003
30,fus,F UH S,fUs,High,Bigram,Novel,1.1356,1.0009
31,faur,F AW R,fWr,Low,Bigram,Novel,1.1347,1.0008
32,furr,F AH R,f^r,High,Bigram,Novel,1.1672,1.003
33,gun,G UH N,gUn,High,Bigram,Novel,1.1323,1.0009
34,gush,G UH SH,gUS,High,Bigram,Novel,1.0439,1.0007
35,guth,G UH TH,gUT,Low,Bigram,Novel,1.0436,1.0004
36,gautch,G AW CH,gWC,High,Bigram,JL,1.0437,1.0005
37,gaudh,G AW DH,gWD,Low,Bigram,Novel,1.0388,1.0002
38,gauth,G AW TH,gWT,Low,Bigram,JL,1.0431,1.0007
39,gurr,G AH R,g^r,High,Bigram,Novel,1.1466,1.0017
40,hun,HH UH N,hUn,High,Bigram,Novel,1.1457,1.0009
41,hoor,HH UW R,hur,High,Bigram,Novel,1.1399,1.001
42,hus,HH UH S,hUs,Low,Bigram,Novel,1.1284,1.0006
43,haur,HH AW R,hWr,Low,Bigram,Novel,1.1275,1.0013
44,joib,JH OY B,JOb,High,Bigram,Novel,1.0432,1.0004
45,jurr,JH AH R,J^r,Low,Bigram,Novel,1.1344,1.0012
46,keng,K EH NG,kEG,Low,Bigram,Novel,1.1773,1.0014
47,kesh,K EH SH,kES,High,Bigram,Novel,1.1733,1.0013
48,keeb,K IY B,kib,High,Bigram,Novel,1.1505,1.0013
49,keetch,K IY CH,kiC,Low,Bigram,Novel,1.1325,1.0012
50,keedh,K IY DH,kiD,Low,Bigram,Novel,1.1276,1.0009
51,keer,K IY R,kir,High,Bigram,Novel,1.2029,1.0006
52,koof,K UW F,kuf,High,Bigram,Novel,1.1345,1.0011
53,kum,K UH M,kUm,Low,Bigram,Novel,1.1523,1.0007
54,kun,K UH N,kUn,Low,Bigram,Novel,1.199,1.001
55,kup,K UH P,kUp,High,Bigram,Novel,1.14,1.0008
56,koor,K UW R,kur,High,Bigram,Novel,1.1932,1.0007
57,lun,L UH N,lUn,Low,Bigram,Novel,1.1404,1.0008
58,lerl,L ER L,lRl,Low,Bigram,Novel,1.1168,1.0002
59,maul,M AW L,mWl,High,Bigram,Novel,1.1406,1.0013
60,maur,M AW R,mWr,Low,Bigram,Novel,1.1453,1.0011
61,maut,M AW T,mWt,High,Bigram,Novel,1.1329,1.0014
62,non,N AO N,ncn,High,Bigram,Novel,1.1364,1.0017
63,nautch,N AW CH,nWC,High,Bigram,JL,1.0415,1.0006
