...1,SoundOrthography,Arpabet,Klattbet,List,Contrast,Source,Unigram,Bigram
64,naudh,N AW DH,nWD,Low,Bigram,Novel,1.0366,1.0003
65,nurr,N AH R,n^r,Low,Bigram,Novel,1.1444,1.0016
66,pok,P AO K,pck,Low,Bigram,Novel,1.1544,1.0016
67,pop,P AO P,pcp,High,Bigram,Novel,1.138,1.0007
68,pos,P AO S,pcs,High,Bigram,Novel,1.1797,1.0017
69,poil,P OY L,pOl,High,Bigram,Novel,1.1615,1.001
70,poim,P OY M,pOm,High,Bigram,Novel,1.1372,1.0005
71,poin,P OY N,pOn,High,Bigram,Novel,1.1839,1.0012
72,poir,P OY R,pOr,Low,Bigram,Novel,1.1662,1.0005
73,pois,P OY S,pOs,High,Bigram,Novel,1.1666,1.0012
74,poit,P OY T,pOt,High,Bigram,Novel,1.1538,1.0006
75,pook,P UW K,puk,High,Bigram,Novel,1.16,1.0012
76,pum,P UH M,pUm,High,Bigram,Novel,1.144,1.0011
77,pun,P UH N,pUn,High,Bigram,Novel,1.1907,1.0014
78,pup,P UH P,pUp,High,Bigram,Novel,1.1317,1.0012
79,pus,P UH S,pUs,High,Bigram,Novel,1.1734,1.0011
80,poov,P UW V,puv,Low,Bigram,Novel,1.1301,1.0006
81,run,R UH N,rUn,High,Bigram,Novel,1.1564,1.0007
82,raur,R AW R,rWr,Low,Bigram,Novel,1.1382,1.0007
83,shog,SH AO G,Scg,High,Bigram,JL,1.0441,1.0009
84,sop,S AO P,scp,High,Bigram,Novel,1.156,1.0012
85,sug,S UH G,sUg,High,Bigram,Novel,1.1305,1.0005
86,shug,SH UH G,SUg,High,Bigram,Novel,1.0378,1.0007
87,suk,S UH K,sUk,High,Bigram,Novel,1.1661,1.0013
88,sum,S UH M,sUm,High,Bigram,Novel,1.162,1.0005
89,sun,S UH N,sUn,High,Bigram,Novel,1.2087,1.0008
90,sup,S UH P,sUp,High,Bigram,Novel,1.1497,1.0006
91,sus,S UH S,sUs,High,Bigram,Novel,1.1914,1.0005
92,shooth,SH UW TH,SuT,High,Bigram,JL,1.0392,1.0008
93,saul,S AW L,sWl,High,Bigram,Novel,1.1858,1.0011
94,saut,S AW T,sWt,High,Bigram,Novel,1.1781,1.0012
95,shurr,SH AH R,S^r,High,Bigram,Novel,1.1303,1.0015
96,thog,TH AO G,Tcg,High,Bigram,JL,1.0412,1.001
97,theedh,TH IY DH,TiD,Low,Bigram,Novel,1.0417,1.0012
98,toin,T OY N,tOn,High,Bigram,Novel,1.144,1.0009
99,tun,T UH N,tUn,High,Bigram,Novel,1.1508,1.001
100,thautch,TH AW CH,TWC,Low,Bigram,Novel,1.0245,1.0004
101,thaudh,TH AW DH,TWD,Low,Bigram,Novel,1.0196,1.0001
102,thauth,TH AW TH,TWT,Low,Bigram,Novel,1.0239,1.0006
103,thauz,TH AW Z,TWz,Low,Bigram,Novel,1.0366,1.0006
104,veir,V EY R,ver,High,Bigram,Novel,1.13,1.0012
105,wush,W UH SH,wUS,High,Bigram,Novel,1.0382,1.0015
106,wuth,W UH TH,wUT,Low,Bigram,Novel,1.0379,1.0012
107,waudh,W AW DH,wWD,Low,Bigram,Novel,1.0331,1.0001
108,wurr,W AH R,w^r,High,Bigram,Novel,1.1409,1.0014
109,yof,Y AO F,ycf,Low,Bigram,Novel,1.0441,1.0007
110,yog,Y AO G,ycg,High,Bigram,JL,1.0423,1.0009
111,yosh,Y AO SH,ycS,Low,Bigram,JL,1.0321,1.0006
112,yeitch,Y EY CH,yeC,Low,Bigram,Novel,1.0451,1.0003
113,yeidh,Y EY DH,yeD,Low,Bigram,Novel,1.0402,1.0002
114,yeidge,Y EY JH,yeJ,Low,Bigram,Novel,1.0479,1.0008
115,yeish,Y EY SH,yeS,Low,Bigram,Novel,1.0448,1.0006
116,yeedh,Y IY DH,yiD,Low,Bigram,JL,1.0428,1.0005
117,yeedge,Y IY JH,yiJ,Low,Bigram,JL,1.0505,1.0007
118,yeesh,Y IY SH,yiS,High,Bigram,JL,1.0474,1.0004
119,yug,Y UH G,yUg,Low,Bigram,Novel,1.036,1.0018
120,yoog,Y UW G,yug,Low,Bigram,Novel,1.0479,1.0035
121,yuth,Y UH TH,yUT,Low,Bigram,Novel,1.0255,1.0016
122,yuz,Y UH Z,yUz,Low,Bigram,Novel,1.0382,1.0017
123,yudh,Y AH DH,y^D,Low,Bigram,Novel,1.0532,1
124,zeitch,Z EY CH,zeC,Low,Bigram,Novel,1.0398,1.0002
125,zeidh,Z EY DH,zeD,Low,Bigram,Novel,1.0349,1.0001
126,zeish,Z EY SH,zeS,Low,Bigram,Novel,1.0395,1.0005
127,zeetch,Z IY CH,ziC,Low,Bigram,JL,1.0424,1.0009
128,zeedh,Z IY DH,ziD,Low,Bigram,JL,1.0375,1.0006
129,zeeth,Z IY TH,ziT,High,Bigram,JL,1.0418,1.0007
130,zoof,Z UW F,zuf,High,Bigram,Novel,1.0444,1.0005
131,zoog,Z UW G,zug,Low,Bigram,Novel,1.0426,1.0003
132,zooth,Z UW TH,zuT,High,Bigram,JL,1.0321,1.0007
