SoundOrthography,Klattbet,Arpabet,List,Contrast,VL_PositionalUnigram,VL_PositionalBigram,uni_prob_adult_SmallCMU,bi_prob_adult_SmallCMU,pos_uni_freq_adult_SmallCMU,pos_bi_freq_adult_SmallCMU,word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,segmentation
bap,b@p,B AE P,High,NewBigram,1.1677,1.0107,-10.98263687,-11.80588594,1.156412541,1.008195287,b @ p,3,-11.593888736028864,NA,-Inf,NA,-23.714210444413002,NA,1.0348425323629806,NA,1.0349457185070983,NA,1.0007728472982547,NA,1.0008174227827409,NA,PearlUtterancesTypizedNoSpaces_RS1
beel,bil,B IY L,High,NewBigram,1.1567,1.0049,-10.07872523,-11.050847,1.16167724,1.005102546,b i l,3,-10.676885581085434,NA,-Inf,NA,-23.90661839042305,NA,1.0245379017195853,NA,1.0246675660050106,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
beese,bis,B IY S,High,NewBigram,1.1618,1.004,-9.990409146,-11.34073545,1.167509346,1.005220366,b i s,3,-10.513293837343577,NA,-Inf,NA,-24.196500386216602,NA,1.0062471823275583,NA,1.0064238453138048,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
berse,bRs,B ER S,Low,NewBigram,1.139,1.0017,-10.25306129,-10.41098954,1.162036275,1.005749872,b R s,3,-11.783159385620223,NA,-Inf,NA,-25.18982743116938,NA,1.00528112320474,NA,1.005460268516734,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
berse,bRs,B ER S,Low,NewBigram,1.139,1.0017,-10.25306129,-10.41098954,1.162036275,1.005749872,b R s,3,-11.783159385620223,NA,-Inf,NA,-25.18982743116938,NA,1.00528112320474,NA,1.005460268516734,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
bice,bYs,B AY S,Low,NewBigram,1.1643,1.0037,-11.06181048,-11.32378127,1.157378342,1.00356608,b Y s,3,-11.335602062026755,NA,-Inf,NA,-24.556675370861225,NA,1.0569974882462807,NA,1.057043746386587,NA,1.0036710246667095,NA,1.003444853155836,NA,PearlUtterancesTypizedNoSpaces_RS1
bul,bxl,B AH L,High,NewBigram,1.1671,1.0103,-8.950725705,-7.322772867,1.21006152,1.018022994,b x l,3,-10.275137297621562,NA,-Inf,NA,-22.944353124788115,NA,1.0343917047723319,NA,1.034496049335132,NA,1.0001288078830424,NA,1.0002335493664976,NA,PearlUtterancesTypizedNoSpaces_RS1
chan,C@l,CH AE L,High,NewBigram,1.162,1.0107,-11.83153868,-11.40039233,1.14672823,1.0090536429999999,C @ l,3,-12.757070814093826,NA,-Inf,NA,-26.492479124540083,NA,1.0513943453339345,NA,1.0514550009635768,NA,1.0007728472982547,NA,1.0008174227827409,NA,PearlUtterancesTypizedNoSpaces_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-12.581085880858389,NA,-Inf,NA,-24.560797014889985,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-12.581085880858389,NA,-Inf,NA,-24.560797014889985,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-12.581085880858389,NA,-Inf,NA,-24.560797014889985,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cheen,Cin,CH IY N,Low,NewBigram,1.1368,1.0036,-11.15596583,-12.38785902,1.141035639,1.003174975,C i n,3,-11.95500252289299,NA,-Inf,NA,-24.751935860197534,NA,1.039350808269466,NA,1.0394424102267616,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cherdge,CRJ,CH ER JH,Low,NewBigram,1.0287,1,-13.32448671,-11.89075409,1.057270962,1.001468638,C R J,3,-16.174073467530956,NA,-Inf,NA,-25.069207992374647,NA,1.0013524827719456,NA,1.001541722875313,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cherg,CRg,CH ER G,Low,NewBigram,1.0358,1,-13.19105846,-14.13755639,1.062101595,1.001174087,C R g,3,-14.220984536748636,NA,-Inf,NA,-26.193084232701537,NA,1.0054099310877826,NA,1.0055887454230101,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
cherth,CRT,CH ER TH,Low,NewBigram,1.0253,1,-14.40106628,-13.43769648,1.050967575,1.000761716,C R T,3,-15.813802690879168,NA,-Inf,NA,-25.412459915981238,NA,1.0041862561988795,NA,1.0043682148133872,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
chudge,CxJ,CH AH JH,Low,NewBigram,1.0619,1.0005,-11.93383504,-12.0234924,1.111128313,1.001996086,C x J,3,-14.502459635790437,NA,-Inf,NA,-25.604628411824184,NA,1.0121723449475106,NA,1.0123337830025052,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
chudge,CxJ,CH AH JH,Low,NewBigram,1.0619,1.0005,-11.93383504,-12.0234924,1.111128313,1.001996086,C x J,3,-14.502459635790437,NA,-Inf,NA,-25.604628411824184,NA,1.0121723449475106,NA,1.0123337830025052,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
chun,Cxn,CH AH N,High,NewBigram,1.1472,1.0111,-10.02796631,-9.138204029,1.189419918,1.022084451,C x n,3,-11.553254239429119,NA,-Inf,NA,-23.619918032628785,NA,1.0492046113222129,NA,1.049270893556883,NA,1.0010948670058608,NA,1.0011093594908624,NA,PearlUtterancesTypizedNoSpaces_RS1
chush,CxS,CH AH SH,Low,NewBigram,1.0588,1.0002,-11.58727711,-14.96461041,1.105767488,1.001289164,C x S,3,-14.255959853305072,NA,-Inf,NA,-24.43950020873794,NA,1.0119147291814259,NA,1.0120768291899531,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
chush,CxS,CH AH SH,Low,NewBigram,1.0588,1.0002,-11.58727711,-14.96461041,1.105767488,1.001289164,C x S,3,-14.255959853305072,NA,-Inf,NA,-24.43950020873794,NA,1.0119147291814259,NA,1.0120768291899531,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
chutch,CxC,CH AH CH,Low,NewBigram,1.0591,1.0001,-12.70236036,-14.17748547,1.104235824,1.001171343,C x C,3,-14.319897954130399,NA,-Inf,NA,-23.64710345219949,NA,1.0112062858246924,NA,1.0113702062054346,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
deek,dik,D IY K,High,NewBigram,1.1371,1.0052,-9.710090942,-10.86434281,1.159462111,1.006677343,d i k,3,-10.322211613518053,NA,-Inf,NA,-24.983273910459246,NA,1.0167450247955174,NA,1.0168947131753068,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dees,dis,D IY S,High,NewBigram,1.1624,1.0048,-9.550457862,-10.74123799,1.180139577,1.006559522,d i s,3,-10.057162527283628,NA,-Inf,NA,-25.306496312024887,NA,1.0062471823275583,NA,1.0064238453138048,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
deet,dit,D IY T,High,NewBigram,1.1496,1.0053,-9.362279216,-9.991119372,1.167414982,1.007089714,d i t,3,-9.372583102616963,NA,-Inf,NA,-25.011330682501153,NA,1.0338764732401622,NA,1.0339821417100274,NA,1.0005796354736909,NA,1.0006422607578678,NA,PearlUtterancesTypizedNoSpaces_RS1
dep,dEp,D EH P,High,NewBigram,1.1618,1.01,-10.32720491,-11.39951535,1.179872467,1.011276365,d E p,3,-11.534762246727688,NA,-Inf,NA,-28.82839071357998,NA,1.0098538030527469,NA,1.0100211986895355,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
derse,dRs,D ER S,Low,NewBigram,1.1396,1.0016,-9.813110006,-10.44324077,1.174666506,1.005109406,d R s,3,-11.327028075560275,NA,-Inf,NA,-25.54941629639129,NA,1.00528112320474,NA,1.005460268516734,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
derse,dRs,D ER S,Low,NewBigram,1.1396,1.0016,-9.813110006,-10.44324077,1.174666506,1.005109406,d R s,3,-11.327028075560275,NA,-Inf,NA,-25.54941629639129,NA,1.00528112320474,NA,1.005460268516734,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-10.440525524122506,NA,-Inf,NA,-26.338173924291198,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-10.440525524122506,NA,-Inf,NA,-26.338173924291198,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-10.440525524122506,NA,-Inf,NA,-26.338173924291198,NA,1.0043150640819216,NA,1.0044966917196634,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheeg,Dig,DH IY G,Low,NewBigram,1.0526,1.0008,-14.94242005,-17.44030474,1.060881226,1.00082337,D i g,3,-10.810558631736107,NA,-Inf,NA,-25.8521084738358,NA,1.0063759902106009,NA,1.006552322220081,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheeg,Dig,DH IY G,Low,NewBigram,1.0526,1.0008,-14.94242005,-17.44030474,1.060881226,1.00082337,D i g,3,-10.810558631736107,NA,-Inf,NA,-25.8521084738358,NA,1.0063759902106009,NA,1.006552322220081,NA,1,1,1.0001167746832489,1,PearlUtterancesTypizedNoSpaces_RS1
dheetch,DiC,DH IY CH,Low,NewBigram,1.0427,1.0008,-15.84437362,-16.74016907,1.049158104,1.000469909,D i C,3,-12.581085880858389,NA,-Inf,NA,-25.349674884076116,NA,1.0013524827719456,NA,1.0015417228753132,NA,1.0000644039415212,NA,1.000175162024873,NA,PearlUtterancesTypizedNoSpaces_RS1
dheetch,DiC,DH IY CH,Low,NewBigram,1.0427,1.0008,-15.84437362,-16.74016907,1.049158104,1.000469909,D i C,3,-12.581085880858389,NA,-Inf,NA,-25.349674884076116,NA,1.0013524827719456,NA,1.0015417228753132,NA,1.0000644039415212,NA,1.000175162024873,NA,PearlUtterancesTypizedNoSpaces_RS1
