SoundOrthography,Klattbet,Arpabet,List,Contrast,VL_PositionalUnigram,VL_PositionalBigram,uni_prob_adult_SmallCMU,bi_prob_adult_SmallCMU,pos_uni_freq_adult_SmallCMU,pos_bi_freq_adult_SmallCMU,word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,segmentation
cheen,Cin,CH IY N,Low,NewBigram,1.1368,1.0036,-11.15596583,-12.38785902,1.141035639,1.003174975,C i n,3,-10.69155562,NA,-10.42365382,NA,-10.69996482,NA,1.162086573,NA,1.16103196,NA,1.008957442,NA,1.00645356,NA,PearlWordTypes_RS1
cherdge,CRJ,CH ER JH,Low,NewBigram,1.0287,1,-13.32448671,-11.89075409,1.057270962,1.001468638,C R J,3,-13.62031898,NA,-14.61920516,NA,-14.65882335,NA,1.048058105,NA,1.048414742,NA,1.000311139,NA,1.000639778,NA,PearlWordTypes_RS1
cherg,CRg,CH ER G,Low,NewBigram,1.0358,1,-13.19105846,-14.13755639,1.062101595,1.001174087,C R g,3,-12.67339128,NA,#NAME?,NA,-16.11004077,NA,1.063647582,NA,1.063809226,NA,1.000311139,NA,1.000639778,NA,PearlWordTypes_RS1
cherth,CRT,CH ER TH,Low,NewBigram,1.0253,1,-14.40106628,-13.43769648,1.050967575,1.000761716,C R T,3,-13.91543603,NA,-13.80083997,NA,-14.06521002,NA,1.048707666,NA,1.049056179,NA,1.00063592,NA,1.000857169,NA,PearlWordTypes_RS1
chudge,CxJ,CH AH JH,Low,NewBigram,1.0619,1.0005,-11.93383504,-12.0234924,1.111128313,1.001996086,C x J,3,-12.7700102,NA,-15.93951757,NA,-15.67604954,NA,1.117130911,NA,1.11665944,NA,1.00063592,NA,1.000857169,NA,PearlWordTypes_RS1
chudge,CxJ,CH AH JH,Low,NewBigram,1.0619,1.0005,-11.93383504,-12.0234924,1.111128313,1.001996086,C x J,3,-12.7700102,NA,-15.93951757,NA,-15.67604954,NA,1.117130911,NA,1.11665944,NA,1.00063592,NA,1.000857169,NA,PearlWordTypes_RS1
chun,Cxn,CH AH N,High,NewBigram,1.1472,1.0111,-10.02796631,-9.138204029,1.189419918,1.022084451,C x n,3,-10.54358647,NA,-10.73068766,NA,-10.88790741,NA,1.202223474,NA,1.200687663,NA,1.017199739,NA,1.011944126,NA,PearlWordTypes_RS1
chush,CxS,CH AH SH,Low,NewBigram,1.0588,1.0002,-11.58727711,-14.96461041,1.105767488,1.001289164,C x S,3,-12.18222354,NA,-13.07731669,NA,-13.324175200000001,NA,1.12492565,NA,1.124356681,NA,1.002584604,NA,1.002161517,NA,PearlWordTypes_RS1
chush,CxS,CH AH SH,Low,NewBigram,1.0588,1.0002,-11.58727711,-14.96461041,1.105767488,1.001289164,C x S,3,-12.18222354,NA,-13.07731669,NA,-13.324175200000001,NA,1.12492565,NA,1.124356681,NA,1.002584604,NA,1.002161517,NA,PearlWordTypes_RS1
chutch,CxC,CH AH CH,Low,NewBigram,1.0591,1.0001,-12.70236036,-14.17748547,1.104235824,1.001171343,C x C,3,-12.40228542,NA,-13.8223357,NA,-14.02825634,NA,1.124600869,NA,1.124035963,NA,1.002259823,NA,1.001944126,NA,PearlWordTypes_RS1
deek,dik,D IY K,High,NewBigram,1.1371,1.0052,-9.710090942,-10.86434281,1.159462111,1.006677343,d i k,3,-9.243875183,NA,-10.77439164,NA,-10.87518713,NA,1.182374995,NA,1.18108782,NA,1.005100998,NA,1.003863459,NA,PearlWordTypes_RS1
dees,dis,D IY S,High,NewBigram,1.1624,1.0048,-9.550457862,-10.74123799,1.180139577,1.006559522,d i s,3,-8.997988177,NA,-10.99104901,NA,-11.04236056,NA,1.174580256,NA,1.173390578,NA,1.003477094,NA,1.002776502,NA,PearlWordTypes_RS1
deet,dit,D IY T,High,NewBigram,1.1496,1.0053,-9.362279216,-9.991119372,1.167414982,1.007089714,d i t,3,-8.931467494,NA,-9.288002534,NA,-9.403380902,NA,1.187246707,NA,1.185898596,NA,1.00997271,NA,1.007124329,NA,PearlWordTypes_RS1
dep,dEp,D EH P,High,NewBigram,1.1618,1.01,-10.32720491,-11.39951535,1.179872467,1.011276365,d E p,3,-10.27112678,NA,-13.07201618,NA,-13.06004097,NA,1.154457491,NA,1.153519347,NA,1.003815517,NA,1.003000092,NA,PearlWordTypes_RS1
derse,dRs,D ER S,Low,NewBigram,1.1396,1.0016,-9.813110006,-10.44324077,1.174666506,1.005109406,d R s,3,-9.700327805,NA,-10.27001725,NA,-10.3924804,NA,1.145644351,NA,1.144801584,NA,1.004506005,NA,1.003453469,NA,PearlWordTypes_RS1
derse,dRs,D ER S,Low,NewBigram,1.1396,1.0016,-9.813110006,-10.44324077,1.174666506,1.005109406,d R s,3,-9.700327805,NA,-10.27001725,NA,-10.3924804,NA,1.145644351,NA,1.144801584,NA,1.004506005,NA,1.003453469,NA,PearlWordTypes_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-14.90756456,NA,-17.3598144,NA,-17.37181816,NA,1.066404283,NA,1.066541122,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-14.90756456,NA,-17.3598144,NA,-17.37181816,NA,1.066404283,NA,1.066541122,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
dheedh,DiD,DH IY DH,Low,NewBigram,1.0378,1.0005,-17.85838735,-18.05110177,1.044739842,1.000410999,D i D,3,-14.90756456,NA,-17.3598144,NA,-17.37181816,NA,1.066404283,NA,1.066541122,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
dheeg,Dig,DH IY G,Low,NewBigram,1.0526,1.0008,-14.94242005,-17.44030474,1.060881226,1.00082337,D i g,3,-13.14970665,NA,-17.03823077,NA,-16.76301213,NA,1.082968103,NA,1.082897761,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
dheeg,Dig,DH IY G,Low,NewBigram,1.0526,1.0008,-14.94242005,-17.44030474,1.060881226,1.00082337,D i g,3,-13.14970665,NA,-17.03823077,NA,-16.76301213,NA,1.082968103,NA,1.082897761,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
dheetch,DiC,DH IY CH,Low,NewBigram,1.0427,1.0008,-15.84437362,-16.74016907,1.049158104,1.000469909,D i C,3,-13.72890957,NA,-14.09190424,NA,-14.51129936,NA,1.074848583,NA,1.074879801,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
dheetch,DiC,DH IY CH,Low,NewBigram,1.0427,1.0008,-15.84437362,-16.74016907,1.049158104,1.000469909,D i C,3,-13.72890957,NA,-14.09190424,NA,-14.51129936,NA,1.074848583,NA,1.074879801,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
dheetch,DiC,DH IY CH,Low,NewBigram,1.0427,1.0008,-15.84437362,-16.74016907,1.049158104,1.000469909,D i C,3,-13.72890957,NA,-14.09190424,NA,-14.51129936,NA,1.074848583,NA,1.074879801,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
didge,dIJ,D IH JH,High,NewBigram,1.1588,1.0164,-10.7102187,-9.468442895,1.177426623,1.028321639,d I J,3,-11.01663302,NA,-12.09491734,NA,-12.33810071,NA,1.155282276,NA,1.154354812,NA,1.009956441,NA,1.007186768,NA,PearlWordTypes_RS1
didh,dID,D IH DH,High,NewBigram,1.1511,1.0157,-13.49275775,-12.83847946,1.166115872,1.026554334,d I D,3,-11.82756323,NA,-15.15518813,NA,-14.83995692,NA,1.154307934,NA,1.153392657,NA,1.010606002,NA,1.007621551,NA,PearlWordTypes_RS1
dipe,dYp,D AY P,High,NewBigram,1.1232,1.0048,-11.24489522,-12.39385442,1.132070429,1.006541,d Y p,3,-10.65889231,NA,-12.19177417,NA,-12.28139066,NA,1.136411442,NA,1.135689651,NA,1.006331911,NA,1.004702034,NA,PearlWordTypes_RS1
dite,dYt,D AY T,High,NewBigram,1.1521,1.0068,-10.43368055,-9.817178123,1.157283978,1.007071192,d Y t,3,-10.06195499,NA,-9.975034135,NA,-10.11984261,NA,1.168889519,NA,1.167761492,NA,1.009579719,NA,1.006875947,NA,PearlWordTypes_RS1
dith,dIT,D IH TH,High,NewBigram,1.1554,1.0163,-11.78679827,-11.02383842,1.171123236,1.027084526,d I T,3,-11.31175007,NA,-12.37516443,NA,-12.59178525,NA,1.155931838,NA,1.154996249,NA,1.009956441,NA,1.007186768,NA,PearlWordTypes_RS1
dizh,dIZ,D IH ZH,High,NewBigram,1.1497,1.0155,-12.91240606,-12.71539025,1.165173309,1.026318694,d I Z,3,-13.90700477,NA,#NAME?,NA,-16.05635225,NA,1.152359249,NA,1.151468346,NA,1.009956441,NA,1.007186768,NA,PearlWordTypes_RS1
feek,fik,F IY K,High,NewBigram,1.1319,1.0041,-10.3481886,-11.66138376,1.142350185,1.004988842,f i k,3,-10.00327175,NA,-11.3065644,NA,-11.42759186,NA,1.180824126,NA,1.179555488,NA,1.005723276,NA,1.004285845,NA,PearlWordTypes_RS1
fees,fis,F IY S,Low,NewBigram,1.1572,1.0037,-10.18855552,-11.53827894,1.163027651,1.004871021,f i s,3,-9.757384743,NA,-11.52322177,NA,-11.59476529,NA,1.173029388,NA,1.171858246,NA,1.004099372,NA,1.003198889,NA,PearlWordTypes_RS1
ferse,fRs,F ER S,Low,NewBigram,1.1344,1.0019,-10.45120767,-10.30461674,1.15755458,1.005808096,f R s,3,-10.45972437,NA,-10.95701432,NA,-11.05762575,NA,1.144093483,NA,1.143269251,NA,1.004506005,NA,1.003453469,NA,PearlWordTypes_RS1
ferse,fRs,F ER S,Low,NewBigram,1.1344,1.0019,-10.45120767,-10.30461674,1.15755458,1.005808096,f R s,3,-10.45972437,NA,-10.95701432,NA,-11.05762575,NA,1.144093483,NA,1.143269251,NA,1.004506005,NA,1.003453469,NA,PearlWordTypes_RS1
fert,fRt,F ER T,Low,NewBigram,1.1216,1.0008,-10.26302902,-10.08040938,1.144829985,1.004865533,f R t,3,-10.39320369,NA,-10.39703189,NA,-10.50945019,NA,1.156759933,NA,1.155777269,NA,1.005805128,NA,1.004323034,NA,PearlWordTypes_RS1
fert,fRt,F ER T,Low,NewBigram,1.1216,1.0008,-10.26302902,-10.08040938,1.144829985,1.004865533,f R t,3,-10.39320369,NA,-10.39703189,NA,-10.50945019,NA,1.156759933,NA,1.155777269,NA,1.005805128,NA,1.004323034,NA,PearlWordTypes_RS1
fike,fYk,F AY K,High,NewBigram,1.1344,1.0047,-11.41958994,-10.89666037,1.13221918,1.004520304,f Y k,3,-11.13375925,NA,-11.06251467,NA,-11.2167184,NA,1.162466939,NA,1.161418384,NA,1.005384853,NA,1.004062256,NA,PearlWordTypes_RS1
ful,fxl,F AH L,High,NewBigram,1.1625,1.0096,-9.148872084,-8.119052044,1.205579825,1.016043372,f x l,3,-9.769758244,NA,-8.419907851,NA,-8.602865249,NA,1.220311466,NA,1.218569754,NA,1.007319896,NA,1.005360406,NA,PearlWordTypes_RS1
gace,ges,G EY S,High,NewBigram,1.134,1.0042,-11.10676101,-11.50528796,1.124781127,1.003111949,g e s,3,-10.86522562,NA,-10.90044688,NA,-11.04219298,NA,1.151931786,NA,1.151012875,NA,1.006427405,NA,1.00474542,NA,PearlWordTypes_RS1
gaud,gWd,G AW D,Low,NewBigram,1.0737,1.0006,-13.90687526,-13.13370568,1.065341717,1.000880222,g W d,3,-12.5536752,NA,-12.15989291,NA,-11.95232222,NA,1.094581504,NA,1.094359097,NA,1.001610262,NA,1.001509343,NA,PearlWordTypes_RS1
gaur,gWr,G AW R,Low,NewBigram,1.1141,1.0004,-13.34525058,-15.68869772,1.107521393,1.000585672,g W r,3,-12.35256753,NA,#NAME?,NA,-15.63020664,NA,1.125435678,NA,1.124827346,NA,1.000311139,NA,1.000639778,NA,PearlWordTypes_RS1
gauz,gWz,G AW Z,Low,NewBigram,1.0558,1.0007,-14.98952825,-13.56676277,1.054502247,1.000585672,g W z,3,-12.78931639,NA,-12.43849448,NA,-12.06641708,NA,1.075094658,NA,1.075115993,NA,1.001285481,NA,1.001291952,NA,PearlWordTypes_RS1
geech,giC,G IY CH,Low,NewBigram,1.0658,1.0007,-12.92840631,-15.02050325,1.073836528,1.000411685,g i C,3,-11.97105165,NA,-12.18485189,NA,-12.44854032,NA,1.101833695,NA,1.101542381,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
geech,giC,G IY CH,Low,NewBigram,1.0658,1.0007,-12.92840631,-15.02050325,1.073836528,1.000411685,g i C,3,-11.97105165,NA,-12.18485189,NA,-12.44854032,NA,1.101833695,NA,1.101542381,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
geedge,giJ,G IY JH,Low,NewBigram,1.0686,1.0006,-12.15988099,-14.37586463,1.080729017,1.000941877,g i J,3,-12.33877643,NA,-14.58971583,NA,-14.34764795,NA,1.094363737,NA,1.094165858,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
geedge,giJ,G IY JH,Low,NewBigram,1.0686,1.0006,-12.15988099,-14.37586463,1.080729017,1.000941877,g i J,3,-12.33877643,NA,-14.58971583,NA,-14.34764795,NA,1.094363737,NA,1.094165858,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
geedh,giD,G IY DH,Low,NewBigram,1.0609,1.0004,-14.94242005,-16.33143595,1.069418266,1.000352775,g i D,3,-13.14970665,NA,-15.45276205,NA,-15.30905912,NA,1.093389395,NA,1.093203703,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
geedh,giD,G IY DH,Low,NewBigram,1.0609,1.0004,-14.94242005,-16.33143595,1.069418266,1.000352775,g i D,3,-13.14970665,NA,-15.45276205,NA,-15.30905912,NA,1.093389395,NA,1.093203703,NA,1.000947058,NA,1.001068362,NA,PearlWordTypes_RS1
gerg,gRg,G ER G,Low,NewBigram,1.0529,1.0001,-12.28910489,-14.5032247,1.080086579,1.00134876,g R g,3,-12.09418836,NA,#NAME?,NA,-14.50404013,NA,1.081017309,NA,1.080971347,NA,1.001244555,NA,1.001273358,NA,PearlWordTypes_RS1
goove,guv,G UW V,Low,NewBigram,1.0717,1.0008,-13.03436653,-13.96375535,1.075170539,1.000936389,g u v,3,-13.19516902,NA,-12.5450988,NA,-12.68617465,NA,1.089120559,NA,1.088977279,NA,1.002570962,NA,1.002155319,NA,PearlWordTypes_RS1
goove,guv,G UW V,Low,NewBigram,1.0717,1.0008,-13.03436653,-13.96375535,1.075170539,1.000936389,g u v,3,-13.19516902,NA,-12.5450988,NA,-12.68617465,NA,1.089120559,NA,1.088977279,NA,1.002570962,NA,1.002155319,NA,PearlWordTypes_RS1
hace,hes,HH EY S,High,NewBigram,1.1474,1.004,-11.9218515,-11.93007292,1.129146414,1.003170173,h e s,3,-11.18206428,NA,-10.10956962,NA,-10.32313567,NA,1.165269255,NA,1.164190932,NA,1.007360822,NA,1.005379,NA,PearlWordTypes_RS1
hane,hen,HH EY N,High,NewBigram,1.1647,1.004,-11.70378643,-10.76578068,1.144463056,1.003229083,h e n,3,-11.30701581,NA,-10.01476931,NA,-10.24115711,NA,1.190926936,NA,1.189527687,NA,1.007360822,NA,1.005379,NA,PearlWordTypes_RS1
heen,hin,HH IY N,High,NewBigram,1.1673,1.0043,-11.06910274,-10.96772352,1.163385909,1.003698992,h i n,3,-10.42919136,NA,-10.12472303,NA,-10.32016746,NA,1.192793769,NA,1.191372138,NA,1.008957442,NA,1.00645356,NA,PearlWordTypes_RS1
hice,hYs,HH AY S,High,NewBigram,1.1525,1.0045,-12.35856915,-10.5212496,1.137938263,1.004322994,h Y s,3,-11.43472733,NA,-10.57203266,NA,-10.77688294,NA,1.1487789,NA,1.14789828,NA,1.003815517,NA,1.003000092,NA,PearlWordTypes_RS1
huss,hxs,HH AH S,Low,NewBigram,1.1604,1.0014,-10.15916829,-9.951714207,1.196453547,1.009625595,h x s,3,-10.15627068,NA,-9.853523989,NA,-10.07058344,NA,1.207272989,NA,1.205691086,NA,1.010851558,NA,1.007733116,NA,PearlWordTypes_RS1
huss,hxs,HH AH S,Low,NewBigram,1.1604,1.0014,-10.15916829,-9.951714207,1.196453547,1.009625595,h x s,3,-10.15627068,NA,-9.853523989,NA,-10.07058344,NA,1.207272989,NA,1.205691086,NA,1.010851558,NA,1.007733116,NA,PearlWordTypes_RS1
jerth,JRT,JH ER TH,Low,NewBigram,1.0302,1.0001,-13.63254096,-13.76764377,1.059232519,1.001460406,J R T,3,-14.28316081,NA,#NAME?,NA,-15.50956818,NA,1.047156798,NA,1.047523847,NA,1.000324781,NA,1.000645976,NA,PearlWordTypes_RS1
junn,Jxn,JH AH N,High,NewBigram,1.1521,1.0111,-9.259440992,-8.148319667,1.197684862,1.023423607,J x n,3,-10.91131125,NA,-9.43870398,NA,-9.806536926,NA,1.200672605,NA,1.199155331,NA,1.01937771,NA,1.013422478,NA,PearlWordTypes_RS1
kade,ked,K EY D,High,NewBigram,1.1599,1.0043,-10.34477462,-10.13295876,1.154689862,1.003282505,k e d,3,-10.12169963,NA,-10.5047829,NA,-10.60847545,NA,1.178142723,NA,1.176920102,NA,1.004748934,NA,1.003633672,NA,PearlWordTypes_RS1
kerm,kRm,K ER M,Low,NewBigram,1.1511,1.0014,-9.92670633,-11.12068585,1.186931985,1.006558836,k R m,3,-10.20857908,NA,-12.0405866,NA,-12.09914851,NA,1.157894046,NA,1.156910645,NA,1.001894117,NA,1.00170814,NA,PearlWordTypes_RS1
kerm,kRm,K ER M,Low,NewBigram,1.1511,1.0014,-9.92670633,-11.12068585,1.186931985,1.006558836,k R m,3,-10.20857908,NA,-12.0405866,NA,-12.09914851,NA,1.157894046,NA,1.156910645,NA,1.001894117,NA,1.00170814,NA,PearlWordTypes_RS1
lale,lel,L EY L,High,NewBigram,1.137,1.0048,-9.729017766,-10.93613813,1.125176831,1.003577056,l e l,3,-9.781463369,NA,-11.22426245,NA,-11.33557134,NA,1.166521132,NA,1.165423875,NA,1.006670334,NA,1.004925623,NA,PearlWordTypes_RS1
mab,m@b,M AE B,High,NewBigram,1.1626,1.0126,-10.94632003,-11.92539341,1.149234262,1.011153743,m @ b,3,-10.64794931,NA,-12.32966215,NA,-12.44218649,NA,1.140826617,NA,1.140062703,NA,1.00880738,NA,1.006385382,NA,PearlWordTypes_RS1
mape,mep,M EY P,High,NewBigram,1.1235,1.0045,-10.76214081,-13.14616021,1.114780821,1.003390721,m e p,3,-10.66859353,NA,-11.60478388,NA,-11.7309028,NA,1.148869539,NA,1.14799824,NA,1.006034415,NA,1.004497039,NA,PearlWordTypes_RS1
mav,m@v,M AE V,High,NewBigram,1.1602,1.012,-11.24566666,-10.99168729,1.148173879,1.01015227,m @ v,3,-11.87517897,NA,-12.03196844,NA,-12.1240634,NA,1.13822837,NA,1.137496955,NA,1.007508256,NA,1.005515817,NA,PearlWordTypes_RS1
mazz,m@z,M AE Z,High,NewBigram,1.1567,1.0108,-11.58902174,-11.47193777,1.143284336,1.009091887,m @ z,3,-10.58732468,NA,-9.880626382,NA,-9.988532387,NA,1.145048767,NA,1.144232042,NA,1.008157818,NA,1.005950599,NA,PearlWordTypes_RS1
mern,mRn,M ER N,Low,NewBigram,1.1623000000000001,1.0008,-9.549008181,-10.77601002,1.181485389,1.003803093,m R n,3,-10.08764359,NA,-11.50370591,NA,-11.58014712,NA,1.167269774,NA,1.166154274,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
mern,mRn,M ER N,Low,NewBigram,1.1623000000000001,1.0008,-9.549008181,-10.77601002,1.181485389,1.003803093,m R n,3,-10.08764359,NA,-11.50370591,NA,-11.58014712,NA,1.167269774,NA,1.166154274,NA,1.002895743,NA,1.00237271,NA,PearlWordTypes_RS1
merse,mRs,M ER S,Low,NewBigram,1.145,1.0021,-9.76707325,-10.7753786,1.166168747,1.005982769,m R s,3,-9.96269207,NA,-11.18438305,NA,-11.26713187,NA,1.141612093,NA,1.14081752,NA,1.004194866,NA,1.003242275,NA,PearlWordTypes_RS1
mide,mYd,M AY D,High,NewBigram,1.1295,1.005,-11.20857838,-10.5873175,1.117151462,1.004328482,m Y d,3,-10.8058745,NA,-9.136405112,NA,-9.355173747,NA,1.13497743,NA,1.134271335,NA,1.008591735,NA,1.006217575,NA,PearlWordTypes_RS1
mubb,mxb,M AH B,High,NewBigram,1.1254,1.0065,-9.449128809,-10.75430691,1.170777202,1.015154832,m x b,3,-9.823683668,NA,-11.64004639,NA,-11.75561971,NA,1.169762522,NA,1.168651697,NA,1.010485851,NA,1.007497131,NA,PearlWordTypes_RS1
nace,nes,N EY S,High,NewBigram,1.1318,1.0047,-9.334320535,-12.80889427,1.119775598,1.003228397,n e s,3,-9.585729594,NA,-11.61763533,NA,-11.71039668,NA,1.147899528,NA,1.147028812,NA,1.007360822,NA,1.005379,NA,PearlWordTypes_RS1
nane,nen,N EY N,High,NewBigram,1.1491,1.0047,-9.116255466,-11.64460203,1.13509224,1.003287307,n e n,3,-9.710681119,NA,-11.52283502,NA,-11.62841813,NA,1.173557209,NA,1.172365566,NA,1.007360822,NA,1.005379,NA,PearlWordTypes_RS1
naud,ncd,N AO D,Low,NewBigram,1.0783,1.0008,-10.54334601,-13.9703452,1.084673888,1.002278288,n c d,3,-10.45454784,NA,-15.89393727,NA,-15.08223271,NA,1.112017821,NA,1.111586223,NA,1.000311139,NA,1.000639778,NA,PearlWordTypes_RS1
naud,ncd,N AO D,Low,NewBigram,1.0783,1.0008,-10.54334601,-13.9703452,1.084673888,1.002278288,n c d,3,-10.45454784,NA,-15.89393727,NA,-15.08223271,NA,1.112017821,NA,1.111586223,NA,1.000311139,NA,1.000639778,NA,PearlWordTypes_RS1
nawd,nWd,N AW D,Low,NewBigram,1.0715,1.0007,-12.13443478,-14.49336114,1.060336187,1.00070555,n W d,3,-11.27417917,NA,-13.57022854,NA,-13.24913459,NA,1.090549246,NA,1.090375034,NA,1.001610262,NA,1.001509343,NA,PearlWordTypes_RS1
nawd,nWd,N AW D,Low,NewBigram,1.0715,1.0007,-12.13443478,-14.49336114,1.060336187,1.00070555,n W d,3,-11.27417917,NA,-13.57022854,NA,-13.24913459,NA,1.090549246,NA,1.090375034,NA,1.001610262,NA,1.001509343,NA,PearlWordTypes_RS1
nawng,ncG,N AO NG,Low,NewBigram,1.052,1.0012,-12.7399962,-14.29446124,1.064173151,1.002278288,n c G,3,-10.93745487,NA,-12.95957152,NA,-12.77334847,NA,1.083112332,NA,1.083042285,NA,1.001935043,NA,1.001726734,NA,PearlWordTypes_RS1
nawng,ncG,N AO NG,Low,NewBigram,1.052,1.0012,-12.7399962,-14.29446124,1.064173151,1.002278288,n c G,3,-10.93745487,NA,-12.95957152,NA,-12.77334847,NA,1.083112332,NA,1.083042285,NA,1.001935043,NA,1.001726734,NA,PearlWordTypes_RS1
neen,nin,N IY N,High,NewBigram,1.1517,1.0047,-8.481571783,-11.73275981,1.154015093,1.003698992,n i n,3,-8.832856668,NA,-10.30533488,NA,-10.41145675,NA,1.175424042,NA,1.174210017,NA,1.009890858,NA,1.00708714,NA,PearlWordTypes_RS1
pake,pek,P EY K,High,NewBigram,1.1671,1.0046,-10.33505471,-11.72284171,1.164519235,1.003392779,p e k,3,-10.23708171,NA,-10.47016684,NA,-10.61468736,NA,1.192294763,NA,1.190889094,NA,1.010554061,NA,1.007528121,NA,PearlWordTypes_RS1
