SoundOrthography,Klattbet,Arpabet,List,Contrast,VL_PositionalUnigram,VL_PositionalBigram,uni_prob_adult_SmallCMU,bi_prob_adult_SmallCMU,pos_uni_freq_adult_SmallCMU,pos_bi_freq_adult_SmallCMU,word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed,segmentation
bap,b@p,B AE P,High,NewBigram,1.1677,1.0107,-10.98263687,-11.80588594,1.156412541,1.008195287,b @ p,3,-10.50096712,NA,-9.665831303,NA,-9.846253085,NA,1.204741337,NA,1.203201768,NA,1.0132861,NA,1.00939787,NA,PearlWordTypes_RS1
beel,bil,B IY L,High,NewBigram,1.1567,1.0049,-10.07872523,-11.050847,1.16167724,1.005102546,b i l,3,-9.454596643,NA,-10.09988193,NA,-10.21116123,NA,1.220497146,NA,1.218754689,NA,1.009877216,NA,1.007080942,NA,PearlWordTypes_RS1
beese,bis,B IY S,High,NewBigram,1.1618,1.004,-9.990409146,-11.34073545,1.167509346,1.005220366,b i s,3,-9.294253993,NA,-10.53775428,NA,-10.60333254,NA,1.213351969,NA,1.211698884,NA,1.005655066,NA,1.004254855,NA,PearlWordTypes_RS1
berse,bRs,B ER S,Low,NewBigram,1.139,1.0017,-10.25306129,-10.41098954,1.162036275,1.005749872,b R s,3,-9.996593621,NA,-9.594252591,NA,-9.734450937,NA,1.184416063,NA,1.183109889,NA,1.007306254,NA,1.005354208,NA,PearlWordTypes_RS1
berse,bRs,B ER S,Low,NewBigram,1.139,1.0017,-10.25306129,-10.41098954,1.162036275,1.005749872,b R s,3,-9.996593621,NA,-9.594252591,NA,-9.734450937,NA,1.184416063,NA,1.183109889,NA,1.007306254,NA,1.005354208,NA,PearlWordTypes_RS1
bice,bYs,B AY S,Low,NewBigram,1.1643,1.0037,-11.06181048,-11.32378127,1.157378342,1.00356608,b Y s,3,-10.42474149,NA,-10.44703857,NA,-10.56185157,NA,1.194994781,NA,1.193561779,NA,1.005060072,NA,1.003844865,NA,PearlWordTypes_RS1
bul,bxl,B AH L,High,NewBigram,1.1671,1.0103,-8.950725705,-7.322772867,1.21006152,1.018022994,b x l,3,-9.306627494,NA,-7.189317899,NA,-7.351149401,NA,1.260634047,NA,1.258410391,NA,1.020387724,NA,1.014230522,NA,PearlWordTypes_RS1
chan,C@l,CH AE L,High,NewBigram,1.162,1.0107,-11.83153868,-11.40039233,1.14672823,1.0090536429999999,C @ l,3,-11.40324323,NA,-12.7576847,NA,-12.80669327,NA,1.154775064,NA,1.153817719,NA,1.003856443,NA,1.003018686,NA,PearlWordTypes_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-13.72890957,NA,-15.4308192,NA,-15.39773713,NA,1.076019668,NA,1.076041582,NA,1.003436168,NA,1.002757908,NA,PearlWordTypes_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-13.72890957,NA,-15.4308192,NA,-15.39773713,NA,1.076019668,NA,1.076041582,NA,1.003436168,NA,1.002757908,NA,PearlWordTypes_RS1
cheedh,CiD,CH IY DH,Low,NewBigram,1.0438,1.0009,-15.84437362,-16.15276112,1.051433282,1.000818568,C i D,3,-13.72890957,NA,-15.4308192,NA,-15.39773713,NA,1.076019668,NA,1.076041582,NA,1.003436168,NA,1.002757908,NA,PearlWordTypes_RS1
