,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source,Unigram,Bigram
69,zeeg,zig,Z IY G,Low,Unigram,JL,1.0523,1.0009
70,sheyg,Seg,SH EY G,Low,Unigram,JL,1.0568,1.001
71,cheydh,CeD,CH EY DH,Low,Unigram,JL,1.0412,1.0007
72,nauth,nWT,N AW TH,Low,Unigram,JL,1.0409,1.0008
73,thudge,TxJ,TH AH JH,High,Unigram,JL,1.0598,1.0005
74,thawg,Tcg,TH AO G,Low,Unigram,JL,1.0412,1.001
75,nawng,ncG,N AO NG,Low,Unigram,JL,1.052,1.0012
76,sern,sXn,S ER N,High,Unigram,JL,1.2075,1.0011
77,serd,sXd,S ER D,High,Unigram,JL,1.1494,1.001
78,jeydh,JeD,JH EY DH,Low,Unigram,JL,1.0461,1.0005
79,bawth,bcT,B AO TH,High,Unigram,JL,1.0751,1.0009
80,yuzz,yxz,Y AH Z,High,Unigram,JL,1.0702,1.0009
81,yawth,ycT,Y AO TH,Low,Unigram,JL,1.0318,1.0002
82,kern,kXn,K ER N,High,Unigram,JL,1.1978,1.0011
83,dheetch,DiC,DH IY CH,Low,Unigram,JL,1.0427,1.0008
84,dhush,DxS,DH AH SH,Low,Unigram,JL,1.0528,1.0004
85,chudge,CxJ,CH AH JH,High,Unigram,JL,1.0619,1.0005
86,zoosh,zuS,Z UW SH,Low,Unigram,JL,1.0324,1.0001
87,naud,ncd,N AO D,High,Unigram,JL,1.0783,1.0008
88,yudghe,yxJ,Y AH JH,High,Unigram,JL,1.0609,1.0005
89,poosh,puS,P UW SH,High,Unigram,JL,1.1142,1.0002
90,yerp,yXp,Y ER P,Low,Unigram,JL,1.054,1.0004
91,dhive,DYv,DH AY V,High,Unigram,JL,1.0608,1.0016
92,sert,sXt,S ER T,High,Unigram,JL,1.1774,1.0013
93,yawng,ycG,Y AO NG,Low,Unigram,JL,1.0361,1.001
94,zeech,ziC,Z IY CH,Low,Unigram,JL,1.0424,1.0009
95,shive,SYv,SH AY V,High,Unigram,JL,1.0676,1.0018
96,dheesh,DiS,DH IY SH,Low,Unigram,JL,1.0424,1.0004
97,shawsh,ScS,SH AO SH,Low,Unigram,JL,1.0339,1.0006
98,fert,fXt,F ER T,High,Unigram,JL,1.1216,1.0008
99,geesh,giS,G IY SH,High,Unigram,JL,1.0655,1.0003
100,choove,Cuv,CH UW V,Low,Unigram,JL,1.0546,1.0006
101,tert,tXt,T ER T,High,Unigram,JL,1.1195,1.0006
102,sherz,SXz,SH ER Z,Low,Unigram,JL,1.0388,1
103,shudge,SxJ,SH AH JH,High,Unigram,JL,1.0627,1.0008
104,shooth,SuT,SH UW TH,Low,Unigram,JL,1.0392,1.0008
105,serl,sXl,S ER L,High,Unigram,JL,1.1851,1.0011
106,goove,guv,G UW V,High,Unigram,JL,1.0717,1.0008
107,woove,wuv,W UW V,High,Unigram,JL,1.066,1.0005
108,chibe,CYb,CH AY B,High,Unigram,JL,1.0692,1.0018
109,zoob,zub,Z UW B,Low,Unigram,JL,1.0507,1.0013
110,jize,JYz,JH AY Z,High,Unigram,JL,1.0682,1.0013
111,dhud,Dxd,DH AH D,High,Unigram,JL,1.0831,1.0009
112,foosh,fuS,F UW SH,High,Unigram,JL,1.0764,1.0003
113,shawth,ScT,SH AO TH,Low,Unigram,JL,1.0336,1.0002
114,lauth,lWT,L AW TH,Low,Unigram,JL,1.0512,1.0008
115,dhibe,DYb,DH AY B,High,Unigram,JL,1.0632,1.0012
116,shibe,SYb,SH AY B,High,Unigram,JL,1.07,1.0014
117,zeedh,ziD,Z IY DH,Low,Unigram,JL,1.0375,1.0006
118,serm,sXm,S ER M,High,Unigram,JL,1.1608,1.0014
119,huss,hxs,HH AH S,High,Unigram,JL,1.1604,1.0014
120,therz,TXz,TH ER Z,Low,Unigram,JL,1.0359,1.0001
121,yush,yxS,Y AH SH,Low,Unigram,JL,1.0578,1.0002
122,gawth,gcT,G AO TH,Low,Unigram,JL,1.0499,1.0007
123,nawd,nWd,N AW D,High,Unigram,JL,1.0715,1.0007
124,shoove,Suv,SH UW V,Low,Unigram,JL,1.0554,1.0006
125,kerm,kXm,K ER M,High,Unigram,JL,1.1511,1.0014
126,dhug,Dxg,DH AH G,High,Unigram,JL,1.063,1.0009
127,yawsh,ycS,Y AO SH,Low,Unigram,JL,1.0321,1.0006
128,cherz,CXz,CH ER Z,Low,Unigram,JL,1.038,1
129,dheeth,DiT,DH IY TH,Low,Unigram,JL,1.0421,1.0006
130,serz,sXz,S ER Z,High,Unigram,JL,1.1315,1.001
131,sheydh,SeD,SH EY DH,Low,Unigram,JL,1.042,1.0008
132,dhize,dYz,DH AY Z,Low,Unigram,JL,1.1062,1.0043
