,SoundOrthography,Klattbet,Arpabet,List,Contrast,Source,Unigram,Bigram
1,footh,fuT,F UW TH,High,Unigram,JL,1.0761,1.0009
2,geeth,giT,G IY TH,High,Unigram,JL,1.0652,1.0005
3,zeeth,ziT,Z IY TH,Low,Unigram,JL,1.0418,1.0007
4,yawg,ycg,Y AO G,Low,Unigram,JL,1.0423,1.0009
5,lerz,lXz,L ER Z,High,Unigram,JL,1.0632,1.0001
6,jipe,JYp,JH AY P,High,Unigram,JL,1.0852,1.0018
7,chuzz,Cxz,CH AH Z,High,Unigram,JL,1.0712,1.0009
8,cheydge,CeJ,CH EY JH,Low,Unigram,JL,1.0489,1.0013
9,zeesh,ziS,Z IY SH,Low,Unigram,JL,1.0421,1.0005
10,zoove,zuv,Z UW V,Low,Unigram,JL,1.0483,1.0005
11,dhipe,DYp,DH AY P,High,Unigram,JL,1.0743,1.0015
12,serk,sXk,S ER K,High,Unigram,JL,1.1649,1.0011
13,berse,bXs,B ER S,High,Unigram,JL,1.139,1.0017
14,thuzz,Txz,TH AH Z,High,Unigram,JL,1.0691,1.0009
15,shawng,ScG,SH AO NG,Low,Unigram,JL,1.0379,1.001
16,jeydge,JeJ,JH EY JH,Low,Unigram,JL,1.0538,1.0011
17,dhuzz,Dxz,DH AH Z,High,Unigram,JL,1.0652,1.0011
18,shipe,SYp,SH AY P,High,Unigram,JL,1.0811,1.0017
19,nautch,nWC,N AW CH,Low,Unigram,JL,1.0415,1.0006
20,lautch,lWC,L AW CH,Low,Unigram,JL,1.0518,1.0006
21,shaud,Scd,SH AO D,High,Unigram,JL,1.0642,1.0006
22,geedge,giJ,G IY JH,High,Unigram,JL,1.0686,1.0006
23,chooth,CuT,CH UW TH,Low,Unigram,JL,1.0384,1.0008
24,dheeg,Dig,DH IY G,Low,Unigram,JL,1.0526,1.0008
25,wooth,wuT,W UW TH,Low,Unigram,JL,1.0498,1.0007
26,thawth,TcT,TH AO TH,Low,Unigram,JL,1.0307,1.0003
27,gooth,guT,G UW TH,Low,Unigram,JL,1.0555,1.001
28,ferse,fXs,F ER S,High,Unigram,JL,1.1344,1.0019
29,jime,JYm,JH AY M,High,Unigram,JL,1.0975,1.0015
30,nerz,nXz,N ER Z,Low,Unigram,JL,1.0529,1
31,mern,mXn,M ER N,High,Unigram,JL,1.1623,1.0008
32,choosh,CuS,CH UW SH,Low,Unigram,JL,1.0387,1.0002
33,sheydge,SeJ,SH EY JH,Low,Unigram,JL,1.0497,1.0014
34,thush,TxS,TH AH SH,Low,Unigram,JL,1.0567,1.0002
35,veydh,veD,V EY DH,Low,Unigram,JL,1.0547,1.0013
36,chush,CxS,CH AH SH,Low,Unigram,JL,1.0588,1.0002
37,nawth,ncT,N AO TH,Low,Unigram,JL,1.0477,1.0004
38,serp,sXp,S ER P,High,Unigram,JL,1.1485,1.0013
39,dheedh,DiD,DH IY DH,Low,Unigram,JL,1.0378,1.0005
40,shawg,Scg,SH AO G,Low,Unigram,JL,1.0441,1.0009
41,cheesh,CiS,CH IY SH,Low,Unigram,JL,1.0484,1.0008
42,geedh,giD,G IY DH,High,Unigram,JL,1.0609,1.0004
43,thawsh,TcS,TH AO SH,Low,Unigram,JL,1.031,1.0007
44,zooth,zuT,Z UW TH,Low,Unigram,JL,1.0321,1.0007
45,shime,SYm,SH AY M,High,Unigram,JL,1.0934,1.0014
46,dhuv,Dxv,DH AH V,High,Unigram,JL,1.0687,1.002
47,tautch,tWC,T AW CH,High,Unigram,JL,1.0622,1.0008
48,gibe,gYb,G AY B,High,Unigram,JL,1.0863,1.0016
49,rawsh,rcS,R AO SH,High,Unigram,JL,1.0743,1.0009
50,derse,dXs,D ER S,High,Unigram,JL,1.1396,1.0016
51,shauze,Scz,SH AO Z,Low,Unigram,JL,1.0463,1.0007
52,yawd,ycd,Y AO D,High,Unigram,JL,1.0624,1.0006
53,joosh,JuS,JH UW SH,Low,Unigram,JL,1.0436,1.0013
54,hoosh,huS,HH UW SH,High,Unigram,JL,1.0692,1.001
55,goosh,guS,G UW SH,Low,Unigram,JL,1.0558,1.0004
56,yerz,yXz,Y ER Z,Low,Unigram,JL,1.037,1.0001
57,cheyg,Ceg,CH EY G,Low,Unigram,JL,1.056,1.0009
58,zeedge,ziJ,Z IY JH,Low,Unigram,JL,1.0452,1.0008
59,moosh,muS,M UW SH,High,Unigram,JL,1.087,1.0007
60,dhime,DYm,DH AY M,High,Unigram,JL,1.0866,1.0012
61,jeyg,Jeg,JH EY G,High,Unigram,JL,1.0609,1.0007
62,foove,fuv,F UW V,High,Unigram,JL,1.0923,1.0007
63,vern,vXn,V ER N,High,Unigram,JL,1.1275,1.0006
64,geech,giC,G IY CH,High,Unigram,JL,1.0658,1.0007
65,cheedh,CiD,CH IY DH,Low,Unigram,JL,1.0438,1.0009
66,chize,CYz,CH AY Z,High,Unigram,JL,1.0633,1.0016
67,dawth,dcT,D AO TH,High,Unigram,JL,1.0757,1.0009
68,yerv,yXv,Y ER V,Low,Unigram,JL,1.0405,1.0005
